,Location,ParentLocation,PM25_Value,Average_PM25
0,Kenya,Africa,10.01,29.812282051282054
1,Trinidad and Tobago,Americas,10.02,14.645727810650888
2,United Kingdom of Great Britain and Northern Ireland,Europe,10.06,19.244726923076925
3,Grenada,Americas,10.08,14.645727810650888
4,Brazil,Americas,10.09,14.645727810650888
5,Denmark,Europe,10.12,19.244726923076925
6,Russian Federation,Europe,10.19,19.244726923076925
7,Spain,Europe,10.19,19.244726923076925
8,Grenada,Americas,10.22,14.645727810650888
9,Grenada,Americas,10.22,14.645727810650888
10,Trinidad and Tobago,Americas,10.26,14.645727810650888
11,France,Europe,10.27,19.244726923076925
12,Guyana,Americas,10.33,14.645727810650888
13,Austria,Europe,10.34,19.244726923076925
14,Lithuania,Europe,10.37,19.244726923076925
15,Haiti,Americas,10.38,14.645727810650888
16,Trinidad and Tobago,Americas,10.39,14.645727810650888
17,Trinidad and Tobago,Americas,10.39,14.645727810650888
18,Trinidad and Tobago,Americas,10.4,14.645727810650888
19,Belize,Americas,10.44,14.645727810650888
20,Belize,Americas,10.44,14.645727810650888
21,Belize,Americas,10.45,14.645727810650888
22,France,Europe,10.46,19.244726923076925
23,Mauritius,Africa,10.48,29.812282051282054
24,Mauritius,Africa,10.48,29.812282051282054
25,Netherlands (Kingdom of the),Europe,10.5,19.244726923076925
26,Belize,Americas,10.51,14.645727810650888
27,Belize,Americas,10.51,14.645727810650888
28,Japan,Western Pacific,10.51,15.497559322033897
29,Mauritius,Africa,10.53,29.812282051282054
30,Germany,Europe,10.55,19.244726923076925
31,Denmark,Europe,10.7,19.244726923076925
32,Germany,Europe,10.73,19.244726923076925
33,Netherlands (Kingdom of the),Europe,10.74,19.244726923076925
34,Namibia,Africa,10.81,29.812282051282054
35,Japan,Western Pacific,10.84,15.497559322033897
36,Cuba,Americas,10.86,14.645727810650888
37,Netherlands (Kingdom of the),Europe,10.88,19.244726923076925
38,Suriname,Americas,10.89,14.645727810650888
39,Brazil,Americas,10.94,14.645727810650888
40,Argentina,Americas,11.07,14.645727810650888
41,Belgium,Europe,11.08,19.244726923076925
42,Japan,Western Pacific,11.1,15.497559322033897
43,Guyana,Americas,11.11,14.645727810650888
44,Mauritius,Africa,11.13,29.812282051282054
45,Netherlands (Kingdom of the),Europe,11.15,19.244726923076925
46,Germany,Europe,11.15,19.244726923076925
47,Argentina,Americas,11.23,14.645727810650888
48,Austria,Europe,11.24,19.244726923076925
49,Guyana,Americas,11.25,14.645727810650888
50,Belgium,Europe,11.26,19.244726923076925
51,Brazil,Americas,11.26,14.645727810650888
52,Japan,Western Pacific,11.32,15.497559322033897
53,France,Europe,11.34,19.244726923076925
54,Paraguay,Americas,11.46,14.645727810650888
55,Austria,Europe,11.51,19.244726923076925
56,Lithuania,Europe,11.52,19.244726923076925
57,Latvia,Europe,11.55,19.244726923076925
58,Belgium,Europe,11.57,19.244726923076925
59,Panama,Americas,11.6,14.645727810650888
60,Lithuania,Europe,11.67,19.244726923076925
61,Guyana,Americas,11.7,14.645727810650888
62,Brazil,Americas,11.75,14.645727810650888
63,Panama,Americas,11.78,14.645727810650888
64,Namibia,Africa,11.81,29.812282051282054
65,Lithuania,Europe,11.83,19.244726923076925
66,Panama,Americas,11.85,14.645727810650888
67,Panama,Americas,11.89,14.645727810650888
68,Germany,Europe,11.92,19.244726923076925
69,Argentina,Americas,11.97,14.645727810650888
70,Guyana,Americas,12.01,14.645727810650888
71,Latvia,Europe,12.02,19.244726923076925
72,France,Europe,12.03,19.244726923076925
73,Argentina,Americas,12.04,14.645727810650888
74,Panama,Americas,12.05,14.645727810650888
75,Republic of Moldova,Europe,12.06,19.244726923076925
76,Ukraine,Europe,12.15,19.244726923076925
77,Suriname,Americas,12.17,14.645727810650888
78,Malta,Europe,12.21,19.244726923076925
79,Romania,Europe,12.23,19.244726923076925
80,Italy,Europe,12.26,19.244726923076925
81,Republic of Moldova,Europe,12.29,19.244726923076925
82,Belgium,Europe,12.3,19.244726923076925
83,Paraguay,Americas,12.31,14.645727810650888
84,Kenya,Africa,12.33,29.812282051282054
85,Zimbabwe,Africa,12.34,29.812282051282054
86,Namibia,Africa,12.34,29.812282051282054
87,Maldives,South-East Asia,12.34,32.1457962962963
88,Republic of Moldova,Europe,12.37,19.244726923076925
89,Austria,Europe,12.42,19.244726923076925
90,Paraguay,Americas,12.49,14.645727810650888
91,Botswana,Africa,12.51,29.812282051282054
92,Kenya,Africa,12.52,29.812282051282054
93,Kenya,Africa,12.68,29.812282051282054
94,Maldives,South-East Asia,12.69,32.1457962962963
95,Greece,Europe,12.7,19.244726923076925
96,Republic of Moldova,Europe,12.74,19.244726923076925
97,Suriname,Americas,12.78,14.645727810650888
98,Morocco,Eastern Mediterranean,12.8,38.40368181818182
99,Botswana,Africa,12.82,29.812282051282054
100,Argentina,Americas,12.85,14.645727810650888
101,Malta,Europe,12.93,19.244726923076925
102,Cuba,Americas,12.93,14.645727810650888
103,Malta,Europe,12.94,19.244726923076925
104,Maldives,South-East Asia,13.0,32.1457962962963
105,Cyprus,Europe,13.01,19.244726923076925
106,Suriname,Americas,13.03,14.645727810650888
107,Zimbabwe,Africa,13.07,29.812282051282054
108,Malta,Europe,13.08,19.244726923076925
109,Zimbabwe,Africa,13.08,29.812282051282054
110,Ukraine,Europe,13.12,19.244726923076925
111,Namibia,Africa,13.13,29.812282051282054
112,Colombia,Americas,13.14,14.645727810650888
113,Morocco,Eastern Mediterranean,13.2,38.40368181818182
114,Suriname,Americas,13.21,14.645727810650888
115,Paraguay,Americas,13.23,14.645727810650888
116,Colombia,Americas,13.26,14.645727810650888
117,Romania,Europe,13.3,19.244726923076925
118,Cuba,Americas,13.32,14.645727810650888
119,Singapore,Western Pacific,13.33,15.497559322033897
120,Singapore,Western Pacific,13.33,15.497559322033897
121,Singapore,Western Pacific,13.33,15.497559322033897
122,Austria,Europe,13.33,19.244726923076925
123,Belarus,Europe,13.41,19.244726923076925
124,Morocco,Eastern Mediterranean,13.44,38.40368181818182
125,Slovenia,Europe,13.44,19.244726923076925
126,Hungary,Europe,13.45,19.244726923076925
127,Paraguay,Americas,13.5,14.645727810650888
128,Ukraine,Europe,13.51,19.244726923076925
129,Somalia,Eastern Mediterranean,13.53,38.40368181818182
130,Czechia,Europe,13.56,19.244726923076925
131,Republic of Moldova,Europe,13.63,19.244726923076925
132,Romania,Europe,13.71,19.244726923076925
133,Morocco,Eastern Mediterranean,13.73,38.40368181818182
134,Jamaica,Americas,13.75,14.645727810650888
135,Maldives,South-East Asia,13.79,32.1457962962963
136,Costa Rica,Americas,13.87,14.645727810650888
137,Maldives,South-East Asia,13.88,32.1457962962963
138,Botswana,Africa,13.9,29.812282051282054
139,Morocco,Eastern Mediterranean,13.92,38.40368181818182
140,Jamaica,Americas,13.99,14.645727810650888
141,Italy,Europe,14.01,19.244726923076925
142,Comoros,Africa,14.02,29.812282051282054
143,Colombia,Americas,14.04,14.645727810650888
144,Namibia,Africa,14.04,29.812282051282054
145,Hungary,Europe,14.05,19.244726923076925
146,Slovenia,Europe,14.07,19.244726923076925
147,Slovenia,Europe,14.08,19.244726923076925
148,Romania,Europe,14.11,19.244726923076925
149,Latvia,Europe,14.13,19.244726923076925
150,South Africa,Africa,14.21,29.812282051282054
151,Italy,Europe,14.22,19.244726923076925
152,Costa Rica,Americas,14.23,14.645727810650888
153,Hungary,Europe,14.24,19.244726923076925
154,Somalia,Eastern Mediterranean,14.26,38.40368181818182
155,Somalia,Eastern Mediterranean,14.28,38.40368181818182
156,Czechia,Europe,14.34,19.244726923076925
157,Kenya,Africa,14.34,29.812282051282054
158,Greece,Europe,14.37,19.244726923076925
159,Comoros,Africa,14.37,29.812282051282054
160,Comoros,Africa,14.38,29.812282051282054
161,Somalia,Eastern Mediterranean,14.41,38.40368181818182
162,Botswana,Africa,14.42,29.812282051282054
163,Zimbabwe,Africa,14.47,29.812282051282054
164,United Republic of Tanzania,Africa,14.47,29.812282051282054
165,Comoros,Africa,14.49,29.812282051282054
166,Ukraine,Europe,14.51,19.244726923076925
167,Cyprus,Europe,14.52,19.244726923076925
168,Cyprus,Europe,14.55,19.244726923076925
169,Slovenia,Europe,14.6,19.244726923076925
170,Romania,Europe,14.61,19.244726923076925
171,Greece,Europe,14.62,19.244726923076925
172,Belarus,Europe,14.67,19.244726923076925
173,Costa Rica,Americas,14.7,14.645727810650888
174,Comoros,Africa,14.71,29.812282051282054
175,Italy,Europe,14.73,19.244726923076925
176,Madagascar,Africa,14.73,29.812282051282054
177,Eswatini,Africa,14.77,29.812282051282054
178,Botswana,Africa,14.78,29.812282051282054
179,Czechia,Europe,14.82,19.244726923076925
180,Jamaica,Americas,14.83,14.645727810650888
181,Hungary,Europe,14.83,19.244726923076925
182,Czechia,Europe,14.9,19.244726923076925
183,Somalia,Eastern Mediterranean,14.92,38.40368181818182
184,Zimbabwe,Africa,15.01,29.812282051282054
185,Czechia,Europe,15.03,19.244726923076925
186,Costa Rica,Americas,15.06,14.645727810650888
187,Eswatini,Africa,15.07,29.812282051282054
188,Colombia,Americas,15.09,14.645727810650888
189,Croatia,Europe,15.09,19.244726923076925
190,Ukraine,Europe,15.2,19.244726923076925
191,Croatia,Europe,15.22,19.244726923076925
192,Croatia,Europe,15.29,19.244726923076925
193,Mexico,Americas,15.31,14.645727810650888
194,United Republic of Tanzania,Africa,15.36,29.812282051282054
195,Nicaragua,Americas,15.46,14.645727810650888
196,Costa Rica,Americas,15.46,14.645727810650888
197,Cyprus,Europe,15.46,19.244726923076925
198,Belarus,Europe,15.48,19.244726923076925
199,Croatia,Europe,15.49,19.244726923076925
200,Slovakia,Europe,15.5,19.244726923076925
201,Italy,Europe,15.55,19.244726923076925
202,Greece,Europe,15.58,19.244726923076925
203,Latvia,Europe,15.64,19.244726923076925
204,Albania,Europe,15.65,19.244726923076925
205,Eswatini,Africa,15.71,29.812282051282054
206,Jamaica,Americas,15.79,14.645727810650888
207,Croatia,Europe,15.81,19.244726923076925
208,Cuba,Americas,15.86,14.645727810650888
209,Slovakia,Europe,15.89,19.244726923076925
210,United Republic of Tanzania,Africa,15.93,29.812282051282054
211,Venezuela (Bolivarian Republic of),Americas,15.93,14.645727810650888
212,Eswatini,Africa,15.94,29.812282051282054
213,Slovenia,Europe,15.94,19.244726923076925
214,Colombia,Americas,15.97,14.645727810650888
215,Mozambique,Africa,15.99,29.812282051282054
216,Nicaragua,Americas,16.0,14.645727810650888
217,Madagascar,Africa,16.02,29.812282051282054
218,Hungary,Europe,16.07,19.244726923076925
219,Zambia,Africa,16.1,29.812282051282054
220,Venezuela (Bolivarian Republic of),Americas,16.12,14.645727810650888
221,United Republic of Tanzania,Africa,16.12,29.812282051282054
222,Slovakia,Europe,16.13,19.244726923076925
223,Ecuador,Americas,16.14,14.645727810650888
224,Greece,Europe,16.16,19.244726923076925
225,Mozambique,Africa,16.17,29.812282051282054
226,Ecuador,Americas,16.19,14.645727810650888
227,Venezuela (Bolivarian Republic of),Americas,16.21,14.645727810650888
228,United Republic of Tanzania,Africa,16.27,29.812282051282054
229,Nicaragua,Americas,16.27,14.645727810650888
230,Slovakia,Europe,16.27,19.244726923076925
231,Albania,Europe,16.28,19.244726923076925
232,Cyprus,Europe,16.29,19.244726923076925
233,Seychelles,Africa,16.3,29.812282051282054
234,Eswatini,Africa,16.35,29.812282051282054
235,Albania,Europe,16.4,19.244726923076925
236,Mozambique,Africa,16.45,29.812282051282054
237,Bulgaria,Europe,16.52,19.244726923076925
238,Venezuela (Bolivarian Republic of),Americas,16.55,14.645727810650888
239,Ecuador,Americas,16.55,14.645727810650888
240,Mexico,Americas,16.58,14.645727810650888
241,Albania,Europe,16.58,19.244726923076925
242,Slovakia,Europe,16.64,19.244726923076925
243,Venezuela (Bolivarian Republic of),Americas,16.7,14.645727810650888
244,Albania,Europe,16.7,19.244726923076925
245,Malaysia,Western Pacific,16.71,15.497559322033897
246,Nicaragua,Americas,16.73,14.645727810650888
247,Madagascar,Africa,16.74,29.812282051282054
248,Zambia,Africa,16.9,29.812282051282054
249,Ecuador,Americas,16.91,14.645727810650888
250,Bhutan,South-East Asia,16.91,32.1457962962963
251,Bhutan,South-East Asia,16.91,32.1457962962963
252,Georgia,Europe,16.93,19.244726923076925
253,Seychelles,Africa,16.96,29.812282051282054
254,Lesotho,Africa,17.03,29.812282051282054
255,South Africa,Africa,17.04,29.812282051282054
256,Nicaragua,Americas,17.07,14.645727810650888
257,Belarus,Europe,17.19,19.244726923076925
258,Bulgaria,Europe,17.29,19.244726923076925
259,Zambia,Africa,17.29,29.812282051282054
260,Cambodia,Western Pacific,17.3,15.497559322033897
261,Ecuador,Americas,17.31,14.645727810650888
262,Lesotho,Africa,17.35,29.812282051282054
263,Poland,Europe,17.36,19.244726923076925
264,Cambodia,Western Pacific,17.43,15.497559322033897
265,Seychelles,Africa,17.44,29.812282051282054
266,Seychelles,Africa,17.44,29.812282051282054
267,Belarus,Europe,17.51,19.244726923076925
268,Mozambique,Africa,17.51,29.812282051282054
269,Lesotho,Africa,17.6,29.812282051282054
270,Jamaica,Americas,17.6,14.645727810650888
271,Viet Nam,Western Pacific,17.67,15.497559322033897
272,Indonesia,South-East Asia,17.74,32.1457962962963
273,Israel,Europe,17.79,19.244726923076925
274,Cambodia,Western Pacific,17.8,15.497559322033897
275,Mexico,Americas,17.83,14.645727810650888
276,Montenegro,Europe,17.89,19.244726923076925
277,Montenegro,Europe,17.93,19.244726923076925
278,Malawi,Africa,18.18,29.812282051282054
279,Montenegro,Europe,18.3,19.244726923076925
280,Cambodia,Western Pacific,18.35,15.497559322033897
281,Madagascar,Africa,18.43,29.812282051282054
282,Mexico,Americas,18.43,14.645727810650888
283,Indonesia,South-East Asia,18.45,32.1457962962963
284,Bulgaria,Europe,18.49,19.244726923076925
285,Mozambique,Africa,18.52,29.812282051282054
286,Malawi,Africa,18.54,29.812282051282054
287,Lesotho,Africa,18.55,29.812282051282054
288,Bulgaria,Europe,18.56,19.244726923076925
289,Malawi,Africa,18.57,29.812282051282054
290,Honduras,Americas,18.59,14.645727810650888
291,Djibouti,Eastern Mediterranean,18.62,38.40368181818182
292,Bulgaria,Europe,18.63,19.244726923076925
293,Georgia,Europe,18.64,19.244726923076925
294,Cuba,Americas,18.71,14.645727810650888
295,Israel,Europe,18.76,19.244726923076925
296,Chile,Americas,18.82,14.645727810650888
297,Poland,Europe,18.83,19.244726923076925
298,Zambia,Africa,18.85,29.812282051282054
299,Honduras,Americas,18.93,14.645727810650888
300,Mexico,Americas,19.04,14.645727810650888
301,Georgia,Europe,19.06,19.244726923076925
302,Honduras,Americas,19.08,14.645727810650888
303,Guatemala,Americas,19.19,14.645727810650888
304,Montenegro,Europe,19.3,19.244726923076925
305,Indonesia,South-East Asia,19.34,32.1457962962963
306,Honduras,Americas,19.42,14.645727810650888
307,Zambia,Africa,19.43,29.812282051282054
308,Israel,Europe,19.47,19.244726923076925
309,Poland,Europe,19.51,19.244726923076925
310,Chile,Americas,19.57,14.645727810650888
311,Israel,Europe,19.65,19.244726923076925
312,Montenegro,Europe,19.69,19.244726923076925
313,Honduras,Americas,19.75,14.645727810650888
314,South Africa,Africa,19.75,29.812282051282054
315,Timor-Leste,South-East Asia,19.79,32.1457962962963
316,Cambodia,Western Pacific,19.8,15.497559322033897
317,Djibouti,Eastern Mediterranean,19.81,38.40368181818182
318,Philippines,Western Pacific,19.82,15.497559322033897
319,Poland,Europe,19.9,19.244726923076925
320,Indonesia,South-East Asia,19.93,32.1457962962963
321,Djibouti,Eastern Mediterranean,19.98,38.40368181818182
322,South Sudan,Africa,20.11,29.812282051282054
323,South Sudan,Africa,20.18,29.812282051282054
324,Malawi,Africa,20.18,29.812282051282054
325,Poland,Europe,20.36,19.244726923076925
326,Lesotho,Africa,20.41,29.812282051282054
327,El Salvador,Americas,20.42,14.645727810650888
328,Israel,Europe,20.42,19.244726923076925
329,Guatemala,Americas,20.45,14.645727810650888
330,Timor-Leste,South-East Asia,20.45,32.1457962962963
331,Timor-Leste,South-East Asia,20.47,32.1457962962963
332,Chile,Americas,20.49,14.645727810650888
333,Lao People's Democratic Republic,Western Pacific,20.54,15.497559322033897
334,South Sudan,Africa,20.65,29.812282051282054
335,Djibouti,Eastern Mediterranean,20.72,38.40368181818182
336,Guatemala,Americas,20.75,14.645727810650888
337,Malaysia,Western Pacific,20.76,15.497559322033897
338,Malawi,Africa,20.82,29.812282051282054
339,Georgia,Europe,20.85,19.244726923076925
340,Ethiopia,Africa,20.87,29.812282051282054
341,Serbia,Europe,20.87,19.244726923076925
342,Madagascar,Africa,20.89,29.812282051282054
343,Viet Nam,Western Pacific,20.89,15.497559322033897
344,Viet Nam,Western Pacific,20.93,15.497559322033897
345,Sudan,Eastern Mediterranean,21.0,38.40368181818182
346,Djibouti,Eastern Mediterranean,21.04,38.40368181818182
347,Lao People's Democratic Republic,Western Pacific,21.15,15.497559322033897
348,Indonesia,South-East Asia,21.29,32.1457962962963
349,South Sudan,Africa,21.36,29.812282051282054
350,Sudan,Eastern Mediterranean,21.43,38.40368181818182
351,Philippines,Western Pacific,21.44,15.497559322033897
352,El Salvador,Americas,21.51,14.645727810650888
353,Malaysia,Western Pacific,21.52,15.497559322033897
354,Georgia,Europe,21.66,19.244726923076925
355,South Africa,Africa,21.69,29.812282051282054
356,Algeria,Africa,21.74,29.812282051282054
357,Serbia,Europe,21.74,19.244726923076925
358,Timor-Leste,South-East Asia,21.77,32.1457962962963
359,Guatemala,Americas,21.78,14.645727810650888
360,Ethiopia,Africa,21.8,29.812282051282054
361,South Sudan,Africa,21.87,29.812282051282054
362,Serbia,Europe,21.91,19.244726923076925
363,Republic of Korea,Western Pacific,21.95,15.497559322033897
364,Viet Nam,Western Pacific,22.12,15.497559322033897
365,El Salvador,Americas,22.15,14.645727810650888
366,Chile,Americas,22.16,14.645727810650888
367,Ethiopia,Africa,22.23,29.812282051282054
368,Sudan,Eastern Mediterranean,22.24,38.40368181818182
369,Timor-Leste,South-East Asia,22.26,32.1457962962963
370,Serbia,Europe,22.33,19.244726923076925
371,Algeria,Africa,22.38,29.812282051282054
372,Philippines,Western Pacific,22.45,15.497559322033897
373,Eritrea,Africa,22.48,29.812282051282054
374,Chile,Americas,22.63,14.645727810650888
375,Serbia,Europe,22.67,19.244726923076925
376,Algeria,Africa,22.68,29.812282051282054
377,Eritrea,Africa,22.74,29.812282051282054
378,El Salvador,Americas,22.76,14.645727810650888
379,Gabon,Africa,22.76,29.812282051282054
380,Lebanon,Eastern Mediterranean,22.79,38.40368181818182
381,Algeria,Africa,22.85,29.812282051282054
382,Ethiopia,Africa,22.94,29.812282051282054
383,Sri Lanka,South-East Asia,22.95,32.1457962962963
384,Türkiye,Europe,23.14,19.244726923076925
385,Sri Lanka,South-East Asia,23.15,32.1457962962963
386,North Macedonia,Europe,23.17,19.244726923076925
387,Türkiye,Europe,23.22,19.244726923076925
388,Congo,Africa,23.22,29.812282051282054
389,Türkiye,Europe,23.25,19.244726923076925
390,Viet Nam,Western Pacific,23.28,15.497559322033897
391,Türkiye,Europe,23.28,19.244726923076925
392,Lao People's Democratic Republic,Western Pacific,23.3,15.497559322033897
393,Guatemala,Americas,23.31,14.645727810650888
394,Türkiye,Europe,23.34,19.244726923076925
395,Angola,Africa,23.35,29.812282051282054
396,Azerbaijan,Europe,23.43,19.244726923076925
397,Sudan,Eastern Mediterranean,23.46,38.40368181818182
398,Ethiopia,Africa,23.5,29.812282051282054
399,Eritrea,Africa,23.55,29.812282051282054
400,Kazakhstan,Europe,23.7,19.244726923076925
401,Malaysia,Western Pacific,23.74,15.497559322033897
402,Algeria,Africa,23.75,29.812282051282054
403,Lebanon,Eastern Mediterranean,23.77,38.40368181818182
404,South Africa,Africa,23.78,29.812282051282054
405,North Macedonia,Europe,23.79,19.244726923076925
406,El Salvador,Americas,23.84,14.645727810650888
407,Thailand,South-East Asia,23.86,32.1457962962963
408,Sri Lanka,South-East Asia,23.88,32.1457962962963
409,Bosnia and Herzegovina,Europe,23.9,19.244726923076925
410,Republic of Korea,Western Pacific,24.04,15.497559322033897
411,Eritrea,Africa,24.04,29.812282051282054
412,Syrian Arab Republic,Eastern Mediterranean,24.07,38.40368181818182
413,Thailand,South-East Asia,24.13,32.1457962962963
414,Lao People's Democratic Republic,Western Pacific,24.19,15.497559322033897
415,Philippines,Western Pacific,24.2,15.497559322033897
416,Republic of Korea,Western Pacific,24.22,15.497559322033897
417,Lebanon,Eastern Mediterranean,24.23,38.40368181818182
418,Azerbaijan,Europe,24.25,19.244726923076925
419,Lebanon,Eastern Mediterranean,24.36,38.40368181818182
420,Republic of Korea,Western Pacific,24.38,15.497559322033897
421,Sudan,Eastern Mediterranean,24.42,38.40368181818182
422,Bolivia (Plurinational State of),Americas,24.55,14.645727810650888
423,Bolivia (Plurinational State of),Americas,24.55,14.645727810650888
424,Lebanon,Eastern Mediterranean,24.61,38.40368181818182
425,Eritrea,Africa,24.63,29.812282051282054
426,Azerbaijan,Europe,24.64,19.244726923076925
427,Thailand,South-East Asia,24.64,32.1457962962963
428,Jordan,Eastern Mediterranean,24.73,38.40368181818182
429,Sri Lanka,South-East Asia,24.79,32.1457962962963
430,Tunisia,Eastern Mediterranean,24.81,38.40368181818182
431,Lao People's Democratic Republic,Western Pacific,24.87,15.497559322033897
432,Syrian Arab Republic,Eastern Mediterranean,24.9,38.40368181818182
433,Republic of Korea,Western Pacific,25.05,15.497559322033897
434,Syrian Arab Republic,Eastern Mediterranean,25.14,38.40368181818182
435,North Macedonia,Europe,25.17,19.244726923076925
436,Bolivia (Plurinational State of),Americas,25.23,14.645727810650888
437,Sri Lanka,South-East Asia,25.26,32.1457962962963
438,Syrian Arab Republic,Eastern Mediterranean,25.31,38.40368181818182
439,Malaysia,Western Pacific,25.32,15.497559322033897
440,Tunisia,Eastern Mediterranean,25.35,38.40368181818182
441,Philippines,Western Pacific,25.39,15.497559322033897
442,Equatorial Guinea,Africa,25.44,29.812282051282054
443,Central African Republic,Africa,25.46,29.812282051282054
444,Thailand,South-East Asia,25.48,32.1457962962963
445,Equatorial Guinea,Africa,25.67,29.812282051282054
446,Jordan,Eastern Mediterranean,25.76,38.40368181818182
447,Jordan,Eastern Mediterranean,25.87,38.40368181818182
448,Turkmenistan,Europe,26.02,19.244726923076925
449,Peru,Americas,26.07,14.645727810650888
450,Bhutan,South-East Asia,26.1,32.1457962962963
451,Azerbaijan,Europe,26.18,19.244726923076925
452,Bosnia and Herzegovina,Europe,26.19,19.244726923076925
453,Jordan,Eastern Mediterranean,26.28,38.40368181818182
454,Gabon,Africa,26.29,29.812282051282054
455,Burundi,Africa,26.31,29.812282051282054
456,Thailand,South-East Asia,26.34,32.1457962962963
457,Turkmenistan,Europe,26.4,19.244726923076925
458,Turkmenistan,Europe,26.41,19.244726923076925
459,Turkmenistan,Europe,26.43,19.244726923076925
460,Bhutan,South-East Asia,26.44,32.1457962962963
461,Jordan,Eastern Mediterranean,26.47,38.40368181818182
462,Equatorial Guinea,Africa,26.47,29.812282051282054
463,Kazakhstan,Europe,26.5,19.244726923076925
464,Tunisia,Eastern Mediterranean,26.52,38.40368181818182
465,Syrian Arab Republic,Eastern Mediterranean,26.57,38.40368181818182
466,Central African Republic,Africa,26.66,29.812282051282054
467,Bolivia (Plurinational State of),Americas,26.89,14.645727810650888
468,Myanmar,South-East Asia,26.89,32.1457962962963
469,Equatorial Guinea,Africa,27.06,29.812282051282054
470,Azerbaijan,Europe,27.15,19.244726923076925
471,Myanmar,South-East Asia,27.16,32.1457962962963
472,Angola,Africa,27.16,29.812282051282054
473,Central African Republic,Africa,27.2,29.812282051282054
474,Cabo Verde,Africa,27.36,29.812282051282054
475,Tunisia,Eastern Mediterranean,27.39,38.40368181818182
476,Bolivia (Plurinational State of),Americas,27.43,14.645727810650888
477,Peru,Americas,27.54,14.645727810650888
478,Myanmar,South-East Asia,27.58,32.1457962962963
479,Myanmar,South-East Asia,27.75,32.1457962962963
480,Myanmar,South-East Asia,27.85,32.1457962962963
481,Burundi,Africa,27.98,29.812282051282054
482,Burundi,Africa,28.0,29.812282051282054
483,Libya,Eastern Mediterranean,28.11,38.40368181818182
484,Turkmenistan,Europe,28.13,19.244726923076925
485,Libya,Eastern Mediterranean,28.26,38.40368181818182
486,Bosnia and Herzegovina,Europe,28.31,19.244726923076925
487,Burundi,Africa,28.38,29.812282051282054
488,Libya,Eastern Mediterranean,28.4,38.40368181818182
489,Armenia,Europe,28.41,19.244726923076925
490,Angola,Africa,28.43,29.812282051282054
491,"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,28.5,38.40368181818182
492,North Macedonia,Europe,28.67,19.244726923076925
493,Equatorial Guinea,Africa,28.68,29.812282051282054
494,Tunisia,Eastern Mediterranean,28.72,38.40368181818182
495,"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,28.89,38.40368181818182
496,Sao Tome and Principe,Africa,29.01,29.812282051282054
497,Burundi,Africa,29.04,29.812282051282054
498,Peru,Americas,29.07,14.645727810650888
499,Democratic Republic of the Congo,Africa,29.13,29.812282051282054
500,Uganda,Africa,29.45,29.812282051282054
501,Congo,Africa,29.48,29.812282051282054
502,Gabon,Africa,29.56,29.812282051282054
503,Bosnia and Herzegovina,Europe,29.67,19.244726923076925
504,Libya,Eastern Mediterranean,29.84,38.40368181818182
505,Uganda,Africa,30.04,29.812282051282054
506,Libya,Eastern Mediterranean,30.21,38.40368181818182
507,Iran (Islamic Republic of),Eastern Mediterranean,30.69,38.40368181818182
508,Iran (Islamic Republic of),Eastern Mediterranean,30.79,38.40368181818182
509,Benin,Africa,30.8,29.812282051282054
510,"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,30.82,38.40368181818182
511,Cabo Verde,Africa,31.08,29.812282051282054
512,China,Western Pacific,31.13,15.497559322033897
513,Benin,Africa,31.27,29.812282051282054
514,Uganda,Africa,31.31,29.812282051282054
515,"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,31.34,38.40368181818182
516,Kazakhstan,Europe,31.38,19.244726923076925
517,Guinea-Bissau,Africa,31.47,29.812282051282054
518,Benin,Africa,31.51,29.812282051282054
519,Democratic Republic of the Congo,Africa,31.58,29.812282051282054
520,Iran (Islamic Republic of),Eastern Mediterranean,31.62,38.40368181818182
521,Sao Tome and Principe,Africa,31.73,29.812282051282054
522,Peru,Americas,31.74,14.645727810650888
523,Benin,Africa,31.78,29.812282051282054
524,Central African Republic,Africa,32.17,29.812282051282054
525,Uganda,Africa,32.29,29.812282051282054
526,Angola,Africa,32.32,29.812282051282054
527,Cabo Verde,Africa,32.35,29.812282051282054
528,Liberia,Africa,32.5,29.812282051282054
529,Bosnia and Herzegovina,Europe,32.53,19.244726923076925
530,Benin,Africa,32.61,29.812282051282054
531,Cabo Verde,Africa,32.63,29.812282051282054
532,Peru,Americas,32.7,14.645727810650888
533,North Macedonia,Europe,32.75,19.244726923076925
534,Gabon,Africa,32.87,29.812282051282054
535,"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,32.93,38.40368181818182
536,Cabo Verde,Africa,33.14,29.812282051282054
537,Angola,Africa,33.19,29.812282051282054
538,Armenia,Europe,33.24,19.244726923076925
539,Liberia,Africa,33.41,29.812282051282054
540,Togo,Africa,33.66,29.812282051282054
541,Democratic Republic of the Congo,Africa,33.73,29.812282051282054
542,Sao Tome and Principe,Africa,33.75,29.812282051282054
543,Togo,Africa,33.87,29.812282051282054
544,Gabon,Africa,33.96,29.812282051282054
545,Iran (Islamic Republic of),Eastern Mediterranean,34.11,38.40368181818182
546,Armenia,Europe,34.13,19.244726923076925
547,Guinea,Africa,34.17,29.812282051282054
